foodId,brandName,productName,petType,kcal_100g,proteinG,fatG,carbohydrateG,확인필요,imageUrl
131,아카나(ACANA),라이트 앤 피트,DOG,,,,,kcal 없음,http://shop1.phinf.naver.net/20221212_15/1670828775560kX4EF_PNG/71964559051167122_1957350954.png
146,하림펫푸드,더리얼 그레인프리,DOG,,,,,kcal 없음,https://shop-phinf.pstatic.net/20241204_103/1733272237654uW6Wg_JPEG/35216251440548039_8471334.jpeg
148,ANF,식스프리플러스,DOG,,,,,kcal 없음,http://shopping.phinf.naver.net/main_3967252/39672528618.20231114151301.jpg
149,윌로펫,뉴트리탑 소프트,DOG,,,,,kcal 없음,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/419d/07b57aac1b418f5ec1c76e38227181e926ded934084aee462e55cf773001.png
150,로얄캐닌(Royal Canin),사이즈/연령별 맞춤 사료,DOG,,,,,kcal 없음,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/34be/940b027298cde1daa2b6a9ce719a86bd2d713ba437bdb18546cc73f9cdd1.png
151,오리젠(ORIJEN),오리지날 캣,CAT,,40.00,,,kcal 없음,http://shop1.phinf.naver.net/20260428_191/1777365877172wOVJ8_JPEG/20380455004239084_509730415.jpg
153,아카나(ACANA),와일드 프레이리 캣,CAT,,36.00,,,kcal 없음,https://shop-phinf.pstatic.net/20240627_103/1719484202705ucbLo_JPEG/26785089585305052_645826744.jpg
154,하림펫푸드,밥이보약 CAT,CAT,,,,,kcal 없음,http://shop1.phinf.naver.net/20260421_252/1776750312714ghfyq_PNG/110883244958705744_32996376.png
155,퓨어비타(PureVita),캣 그레인프리 치킨&완두콩,CAT,,,,,kcal 없음,https://ep-cdn.011st.com/11dims/resize/900x900/quality/75/11src/product/9054791006/B.webp?724802130
156,뉴트로(NUTRO),내추럴초이스 인도어 어덜트 흰살생선과현미,CAT,,,,,kcal 없음,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/cad5/ebe8add08cb2eb45e312f847f5ce55cb83e039d009c817f4ae2c52af7e24.jpeg
157,뉴트로(NUTRO),내추럴초이스 체중관리 어덜트 닭고기와현미,CAT,,,,,kcal 없음,https://i.pinimg.com/736x/b0/70/9a/b0709a80dc69adc755d2856ca544834f.jpg
158,로얄캐닌(Royal Canin),미니 인도어 어덜트,DOG,,25.00,14.00,,kcal 없음,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/34be/940b027298cde1daa2b6a9ce719a86bd2d713ba437bdb18546cc73f9cdd1.png
160,인섹트업(InsectUp),하이포알러지,DOG,,,,,kcal 없음,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/image_audit/prod/92c48870-d9d5-473b-b48d-b83cbf3a6a94_fixing_v2.png
161,인섹트도그(InsectDog),하이포알러지,DOG,,,,,kcal 없음,http://shopping.phinf.naver.net/main_2303504/23035040491.2.20250317113219.jpg
162,벨포아(Bellfor),홀리스틱 인섹트,DOG,,,,,kcal 없음,https://s3.ap-northeast-2.amazonaws.com/storage.b-flow.io/24072564/%EB%B2%A8%ED%8F%AC%EC%95%84%20%EC%8D%B8%EB%84%A4%EC%9D%BC.jpg
163,웰츠(Wealtz),독 저지방 다이어트,DOG,,,,,kcal 없음,http://img.dogpre.com/web/dogpre/product/48/47489_detail_01494397.jpg
164,뉴트리플랜(Nutriplan),고양이 습식사료,CAT,,,,,kcal 없음,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/91b9/e84a5032ca1924e3dec7e7bd7bcd6f7ffff79e73886b724808d0770fbc14.jpg
165,네이처스밸리(Nature's Valley),고양이 사료,CAT,,,,,kcal 없음,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/5711131197/A3.jpg?53000000
127,오리젠(ORIJEN),식스피쉬 독,DOG,376.00,39.00,19.00,,,http://shop1.phinf.naver.net/20230728_32/16905262997883kGC5_JPEG/36542883332601361_296439405.jpg
128,오리젠(ORIJEN),퍼피,DOG,400.00,38.00,20.00,,,https://thumbnail8.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/be1f/fbf3d6435d5e7e03f8d6d902e2781553611801cfbbf75c173d7bb819e543.png
129,오리젠(ORIJEN),핏 앤 트림,DOG,349.00,40.00,13.00,,,http://shop1.phinf.naver.net/20230208_199/1675840461224C9uo6_JPEG/76976240908123900_1710765372.jpg
130,아카나(ACANA),와일드 프레이리 독,DOG,385.00,,,,,https://img.dogpre.com/mobile/dogpre/product/49/48464_original_01126653.png
132,지위픽(ZIWI PEAK),치킨 with 오처드 프루트,DOG,430.00,36.00,26.00,,,http://shop1.phinf.naver.net/20191209_20/1575880369745S1rF1_PNG/13243758277924130_984793435.png
133,지위픽(ZIWI PEAK),맥커럴 & 램,DOG,450.00,,,,,http://image.g9.co.kr/g/1467894998/n
134,나우(NOW FRESH),그레인프리 라지브리드 어덜트,DOG,357.30,28.00,14.00,,,https://img.danuri.io/catalog-image/376/242/007/5315e10241d74ff0819c230d3e8a9cc4.jpg
135,웰니스(Wellness),컴플리트 헬스 비프&발리,DOG,355.00,,,,,http://imgnews.naver.net/image/5366/2025/10/05/2025100508505706499fbbec65dfb210178127232_20251005085213600.jpg
136,블루버팔로(Blue Buffalo),라이프 프로텍션 라지브리드 시니어,DOG,343.60,20.00,10.00,,,https://shop-phinf.pstatic.net/20240928_289/1727498661659P9lwR_JPEG/7074025527832961_440669278.jpg
137,브릿(Brit Care),그레인프리 시니어 라이트 살몬,DOG,341.00,25.00,12.00,,,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/52b0/2f5e238474b027952f418647e0ac0edd94dc0b25319d3339374c5de17282.jpg
138,파리나(Farmina),N&D 퀴노아 웨이트 매니지먼트 램,DOG,313.50,28.00,8.00,,,https://ak-d.tripcdn.com/images/0225b12000lbuqky2016B_R_960_660_R5_D.jpg
139,K9 내추럴,램 피스트 프리즈드라이드,DOG,503.00,41.00,34.00,,,https://img.danuri.io/catalog-image/552/461/096/d9d16f75542940ea8a7987ad6ab01594.jpg
140,프리멀(Primal),프리즈드라이드 로우 너겟 래빗,DOG,485.70,60.40,20.87,,,http://shop1.phinf.naver.net/20180201_68/doristar52_1517454932255i92EV_JPEG/40761232776245955_1883485064.jpg
