foodId,brandName,productName,petType,imageUrl,purchaseUrl
1,로얄캐닌(Royal Canin),미니 어덜트 건사료 (소형견 성견),DOG,https://marspetcareaprimocdn.petcare.global/b58b1dc8-f69b-401a-9068-b3f600e032af/b58b1dc8-f69b-401a-9068-b3f600e032af_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%86%8C%ED%98%95%EA%B2%AC%20%EC%84%B1%EA%B2%AC%29
2,로얄캐닌(Royal Canin),미디엄 어덜트 건사료 (중형견 성견),DOG,https://marspetcareaprimocdn.petcare.global/737a3a8d-549a-4448-aeb6-b37701520bcb/737a3a8d-549a-4448-aeb6-b37701520bcb_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%94%94%EC%97%84%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%A4%91%ED%98%95%EA%B2%AC%20%EC%84%B1%EA%B2%AC%29
3,로얄캐닌(Royal Canin),맥시 어덜트 건사료 (대형견 성견),DOG,https://marspetcareaprimocdn.petcare.global/ca10e0eb-4729-4b6c-a794-b24900095327/ca10e0eb-4729-4b6c-a794-b24900095327_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%A7%A5%EC%8B%9C%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EB%8C%80%ED%98%95%EA%B2%AC%20%EC%84%B1%EA%B2%AC%29
4,로얄캐닌(Royal Canin),미니 인도어 어덜트 건사료 (실내 소형견),DOG,https://marspetcareaprimocdn.petcare.global/88e9a3c2-24f9-4328-b7e9-b3a7002b2517/88e9a3c2-24f9-4328-b7e9-b3a7002b2517_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%20%EC%9D%B8%EB%8F%84%EC%96%B4%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%8B%A4%EB%82%B4%20%EC%86%8C%ED%98%95%EA%B2%AC%29
5,로얄캐닌(Royal Canin),미니 인도어 시니어 건사료 (실내 소형견 시니어),DOG,https://marspetcareaprimocdn.petcare.global/36847680-40b0-4c9a-95e8-b1ef001b27c1/36847680-40b0-4c9a-95e8-b1ef001b27c1_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%20%EC%9D%B8%EB%8F%84%EC%96%B4%20%EC%8B%9C%EB%8B%88%EC%96%B4%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%8B%A4%EB%82%B4%20%EC%86%8C%ED%98%95%EA%B2%AC%20%EC%8B%9C%EB%8B%88%EC%96%B4%29
6,로얄캐닌(Royal Canin),미니 다이제스티브 케어 건사료 (소형견 소화케어),DOG,https://marspetcareaprimocdn.petcare.global/8904bdbd-514d-4462-8a9f-b2490007f8bd/8904bdbd-514d-4462-8a9f-b2490007f8bd_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%AF%B8%EB%8B%88%20%EB%8B%A4%EC%9D%B4%EC%A0%9C%EC%8A%A4%ED%8B%B0%EB%B8%8C%20%EC%BC%80%EC%96%B4%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%86%8C%ED%98%95%EA%B2%AC%20%EC%86%8C%ED%99%94%EC%BC%80%EC%96%B4%29
7,로얄캐닌(Royal Canin),더마컴포트 미디엄 건사료 (중형견 피부케어),DOG,https://marspetcareaprimocdn.petcare.global/02cbeafc-e022-4063-8236-b42400f31016/02cbeafc-e022-4063-8236-b42400f31016_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%8D%94%EB%A7%88%EC%BB%B4%ED%8F%AC%ED%8A%B8%20%EB%AF%B8%EB%94%94%EC%97%84%20%EA%B1%B4%EC%82%AC%EB%A3%8C%20%28%EC%A4%91%ED%98%95%EA%B2%AC%20%ED%94%BC%EB%B6%80%EC%BC%80%EC%96%B4%29
8,로얄캐닌(Royal Canin),말티즈 어덜트 건사료,DOG,https://marspetcareaprimocdn.petcare.global/636f0c13-70b8-4c0d-93a1-b24900075f21/636f0c13-70b8-4c0d-93a1-b24900075f21_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%A7%90%ED%8B%B0%EC%A6%88%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C
9,로얄캐닌(Royal Canin),닥스훈트 어덜트 건사료,DOG,https://marspetcareaprimocdn.petcare.global/c1ea8107-8c73-44e8-a2e1-b3ec009a1951/c1ea8107-8c73-44e8-a2e1-b3ec009a1951_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%8B%A5%EC%8A%A4%ED%9B%88%ED%8A%B8%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C
10,로얄캐닌(Royal Canin),래브라도 리트리버 어덜트 건사료,DOG,https://marspetcareaprimocdn.petcare.global/e783d726-615c-4295-a40c-b24900075f0c/e783d726-615c-4295-a40c-b24900075f0c_DownloadAsJpg.jpg,https://search.shopping.naver.com/search/all?query=%EB%A1%9C%EC%96%84%EC%BA%90%EB%8B%8C%20%EB%9E%98%EB%B8%8C%EB%9D%BC%EB%8F%84%20%EB%A6%AC%ED%8A%B8%EB%A6%AC%EB%B2%84%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EA%B1%B4%EC%82%AC%EB%A3%8C
